ID	DOCULECT	CONCEPT	GERMAN	CONCEPTICON	CONCEPTICON_GLOSS	IDS	VALUE	FORM	TOKENS	ORIGIN	SOURCE	SOURCE_FORM	MORPHEMES	COGIDS	NOTE	ROOTIDS
1602	German	foolish, stupid	stupid	1518	!STUPID	17-220	albern	albern	a l b ə r Ø/ə n	Stammwort			silly	0	unusual	0
1603	German	insane, crazy	verrückt	1899	MAD	17-230	verrückt	verrückt	f ɛ r + r y k + t	Stammwort			_-:prefix/ver place-to-the-side _-:pt.pf/t	138 326 736		0
1604	German	insane, crazy	verrückt	1899	!MAD	17-230	toll	toll	t ɔ l	Stammwort			crazy	762	old	0
1605	German	insane, crazy	verrückt	1899	MAD	17-230	wahnsinnig	wahnsinnig	v aː n + z ɪ n + ɪ ç/g				crazyness sense _-:suffix/ig	322 323 156		0
1606	German	learn	lernen	504	LEARN	17-240	lernen	lernen	l ɛ r n + ə n	Stammwort			learn _-:inf	0 2		0
1607	German	study	studieren	1929	STUDY	17-242	studieren	studieren	ʃ t uː d iː r + ə n	mit Adaptionssuffix	l	studEre	!study _-:inf	466 2		0
1608	German	teach	unterrichten	709	TEACH	17-250	lehren	lehren	l eː r + ə n	Stammwort			teach _-:inf	500 2	specific	0
1609	German	teach	unterrichten	709	TEACH	17-250	unterrichten	unterrichten	ʊ n t ə r + r ɪ ç t + ə n	Stammwort			_under put-straight _-:inf	10 502 2		0
1610	German	pupil	der Schüler	753	PUPIL (STUDENT)	17-260		schüler	ʃ yː/uː l + ə r	E			school _-:suffix/er	250 100		0
1611	German	teacher	der Lehrer	1038	TEACHER	17-270	der Lehrer	lehrer	l eː r ə r	S			teach _-:suffix/er	500 0		0
1612	German	school	die Schule	673	SCHOOL	17-280	die Schule	schule	ʃ uː l + ə	Entlehnung			school _-:suffix.f.s/e	250 91		0
1613	German	remember	sich erinnern	707	REMEMBER	17-310	sich erinnern	sich erinnern	z ɪ ç + ɛ r + ɪ n ə r + Ø/ə n				self _-:prefix/er enter _-:inf	147 198 196 2		0
1614	German	remember	sich erinnern	707	REMEMBER	17-310	gedenken	gedenken	g ə + d ɛ ŋ k + ə n				_-:prefix/ge think _-:inf	139 517 2	different sense	0
1615	German	remember	sich erinnern	707	REMEMBER	17-310	erinnern	erinnern	ɛ r + ɪ n ə r + Ø/ə n	Stammwort			_-:prefix/er enter _-:inf	198 196 2		0
1616	German	forget	vergessen	1523	FORGET	17-320	vergessen	vergessen	f ɛ r + g ɛ s + ə n	Stammwort			_-:prefix/ver get _-:inf	138 1167 2		0
1617	German	clear, plain	klar	989	CLEAR	17-340	klar	klar	k l aː r	Entlehnung			clear	29		0
1618	German	clear, plain	klar	989	CLEAR	17-340	deutlich	deutlich	d ɔi t + l ɪ ç	Stammwort			clear _-:suffix/lich	785 161		0
1619	German	obscure	unverständlich	1764	OBSCURE	17-350	unverständlich	dunkel	ʊ n + f ɛ r + ʃ t ɛ/a n t/d + l ɪ ç	Stammwort			not:prefix/un _-:prefix/ver stand _-:suffix/lich	609 138 1218 161		0
1620	German	obscure	unverständlich	1764	OBSCURE	17-350	unklar	unklar	ʊ n + k l aː r				not/un clear	171 29		0
1621	German	secret	geheim	1121	SECRET	17-360	geheim	geheim	g ə + h ai m	Stammwort			_-:prefix/ge /heim	139 545		0
1622	German	secret	geheim	1121	SECRET	17-360	heimlich	heimlich	h ai m + l ɪ ç	Stammwort			/heim _-:suffix/lich	545 161		0
1623	German	sure, certain	sicher (gewiss)	509	CERTAIN	17-370	sicher	sicher	z ɪ ç ə r	Entlehnung			certain	0		0
1624	German	sure, certain	sicher (gewiss)	509	CERTAIN	17-370	gewiss	gewiss	g ə + v ɪ s				_-:prefix/ge know	139 472		0
1625	German	explain	erklären	1626	EXPLAIN	17-380	erklären	erklären	ɛ r + k l ɛː r + ə n				_-:prefix/er clear _-:inf	147 1145 2		0
1626	German	intention, purpose	der Zweck	1162	INTENTION	17-410	der Zweck	zweck	ts v ɛ k	Stammwort			purpose	1178		0
1627	German	cause	die Ursache	860	CAUSE	17-420	Ursache	ursache	uː r + z a x + ə	Stammwort			original thing/Sache _-:suffix.f.s/e	0 234 91		0
1628	German	doubt	der Zweifel	1308	DOUBT	17-430	der Zweifel	zweifel	ts v ai + f ə l	Stammwort			two ?	605 972		0
1629	German	suspect	verdächtigen	1841	SUSPECT	17-440	verdächtigen	verdächtigen	f ɛ r + d ɛ/a x t + ɪ g + ə n	Stammwort			_-:prefix/ver think:past _-:suffix/ig _-:inf	138 476 156 2		0
1630	German	suspect	verdächtigen	1841	SUSPECT	17-440	in Verdacht haben	in verdacht haben	ɪ n + f ɛ r + d a x t + h aː b + ə n	Stammwort			in _-:prefix/ver think:past have _-:inf	0 138 476 66 2		0
1631	German	betray	betrügen, verraten	1902	BETRAY	17-441	verraten	verraten	f ɛ r + r aː t + ə n	Stammwort			_-:prefix/ver propose _-:inf	138 818 2		0
1907	German	betray	betrügen, verraten						b ə + t r yː/uː g + ə n				_-:prefix/be betray _-:inf	140 25 2		
1632	German	need, necessity	das Bedürfnis	643	NEED (NOUN)	17-450	die Not	not	n oː t	Stammwort			need:N	13	specific	0
1633	German	need, necessity	das Bedürfnis	643	NEED (NOUN)	17-450	die Notwendigkeit	notwendigkeit	n oː t + v ɛ n d + ɪ ç/g + k ai t				need:N turn _-:suffix/ig _-:suffix/keit	13 596 156 838		0
1634	German	need, necessity	das Bedürfnis	643	NEED (NOUN)	17-450	das Bedürfnis	bedürfnis	b ə + d y r f + n ɪ s				_-:prefix/be allow _-:suffix/nis	140 307 947		0
1635	German	easy	leicht (zu tun)	686	EASY	17-460	leicht	leicht	l ai ç t	Stammwort			easy	0		0
1636	German	difficult	schwierig	584	DIFFICULT	17-470	schwer	schwer	ʃ v eː r	Stammwort			heavy	433		0
1637	German	try, attempt	versuchen	1812	TRY	17-480	versuchen	versuchen	f ɛ r + z uː x + ə n				_-:prefix/ver search _-:inf	138 260 2		0
1638	German	way, manner	die Art und Weise	488	MANNER	17-490	die Art und Weise	art und weise	a r t + ʊ n t/d + v ai z + ə	Stammwort			kind and manner _-:suffix.f.s/e	639 640 641 91		0
1639	German	way, manner	die Art und Weise	488	MANNER	17-490	die Weise	weise	v ai z + ə	Stammwort			manner _-:suffix.f.s/e	641 91		0
1640	German	way, manner	die Art und Weise	488	MANNER	17-490	die Art	art	aː r t				kind	639		0
1641	German	and	und	1577	AND	17-510	und	und	ʊ n t/d	Stammwort			and	798		0
1642	German	because	weil	1157	BECAUSE	17-520	weil	weil	v ai l	Stammwort			at_times	565		0
1643	German	because	denn	1157	BECAUSE	17-520	denn	denn	d ɛ n	Stammwort			because	777		0
1644	German	if	wenn (falls)	1459	IF	17-530	wenn	wenn	v ɛ n	Stammwort			if	1211		0
1645	German	or	oder	1014	OR	17-540	oder	oder	oː d ə r	Stammwort			or	0		0
1646	German	yes, affirmative	ja	1268	YES	17-550	ja	ja	j aː	Stammwort			yes	720		0
1647	German	no, negative	nein	1269	NO	17-560	nein	nein	n ai n	Stammwort			no	0		0
1648	German	how?	wie	1239	HOW	17-610	wie	wie	v iː	Stammwort			how	131		0
1649	German	how many?	wieviel (zählbar)	3450	HOW MANY PIECES	17-620	wieviel	wieviel	v iː + f iː l				how much	131 422		0
1650	German	how much?	wieviel (nicht zählbar)	531	HOW MUCH	17-630	wieviel	wieviel	v iː + f iː l				how much	131 132		0
1651	German	what?	was	1236	WHAT	17-640	was	was	v a s	Stammwort			what	595		0
1652	German	when?	wann	1238	WHEN	17-650	wann	wann	v a n	Stammwort			when	666		0
1653	German	where?	wo	1237	WHERE	17-660	wo	wo	v oː	Stammwort			where	667		0
1654	German	which?	welche	727	WHICH	17-670	welche	welche	v ɛ l ç ə				which	668		0
1655	German	who?	wer	1235	WHO	17-680	wer	wer	v eː r	Stammwort			who	674		0
1656	German	why?	warum	1270	WHY	17-690	warum	warum	v a r ʊ m	Stammwort			why	675		0
1657	German	voice	die Stimme	1363	VOICE	18-110	die Stimme	stimme	ʃ t ɪ m + ə	Stammwort			voice _-:suffix.f.s/e	631 91		0
1658	German	sing	singen	1261	SING	18-120	singen	singen	z ɪ ŋ + ə n	Stammwort			sing _-:inf	886 2		0
1659	German	shout, cry out	schreien	715	SHOUT	18-130	schreien	schreien	ʃ r ai + ə n	Stammwort			scream _-:inf	288 2		0
1660	German	shout, cry out	schreien	715	SHOUT	18-130	rufen	rufen	r uː f + ə n	Stammwort			call _-:inf	289 2		0
1661	German	whisper	flüstern	55	WHISPER	18-150	flüstern	flüstern	f l y s t ə r + Ø/ə n	Stammwort			whisper _-:inf	671 2		0
1662	German	mumble	murmeln	128	MUMBLE	18-160	murmeln	murmeln	m ʊ r m ə l + Ø/ə n	Stammwort			murmure _-:inf	0 2		0
1663	German	whistle	pfeifen	1025	WHISTLE	18-170	pfeifen	pfeifen	pf ai f + ə n	Entlehnung			pipe _-:inf	672 2		0
1664	German	shriek, screech	schreien (kreischen)	298	SHRIEK	18-180	schreien	schreien	ʃ r ai + ə n	Stammwort			scream _-:inf	288 2		0
1665	German	shriek, screech	schreien (kreischen)	298	SHRIEK	18-180	kreischen	kreischen	k r ai ʃ + ə n	Stammwort			scream _-:inf	292 2		0
1666	German	howl	heulen	526	HOWL	18-190	heulen	heulen	h ɔi l + ə n	Stammwort			howl _-:inf	1108 2		0
1667	German	speak, talk	speak	1623	SPEAK	18-210	sprechen	sprechen	ʃ p r ɛ ç + ə n	Stammwort			speak _-:inf	46 2		0
1668	German	speak, talk	speak	1623	SPEAK	18-210	reden	reden	r eː d + ə n	Stammwort			talk _-:inf	46 2		0
1669	German	stutter, stammer	stottern	1866	STUTTER	18-211	stottern	stottern	ʃ t ɔ t ə r + Ø/ə n	Stammwort			stutter _-:inf	464 2		0
1670	German	stutter, stammer	stottern	1866	STUTTER	18-211	stammeln	stammeln	ʃ t a m ə l + Ø/ə n	Stammwort			stammer _-:inf	465 2	rare	0
1671	German	say	sagen	1458	SAY	18-220	sagen	sagen	z aː g + ə n	Stammwort			say _-:inf	222 2		0
1672	German	tell story	erzählen	1711	TELL	18-221	erzählen	erzählen	ɛ r + ts ɛː l + ə n	Stammwort			_-:prefix/er count _-:inf	147 510 2		0
1673	German	speech (make a)	vortragen	1115	SPEECH	18-222	reden	reden	r eː d + ə n	Stammwort			talk _-:inf	46 2		0
1674	German	speech (make a)	vortragen	1115	SPEECH	18-222	vortragen	vortragen	f oː r + t r aː g + ə n				_before carry _-:inf	402 21 2		0
1675	German	speech (make a)	vortragen	1115	SPEECH	18-222	einen Vortrag halten	vortrag halten	v ɔ r + t r aː k/g + h a l t + ə n				/vor carry hold _-:inf	402 21 546 2		0
1676	German	silent (be)	schweigen	48	BE SILENT	18-230	schweigen	schweigen	ʃ v ai g + ə n	Stammwort			be_silent _-:inf	191 2		0
1677	German	language	die Sprache	1307	LANGUAGE	18-240	Sprache	sprache	ʃ p r aː/ɛ x/ç + ə	Stammwort			speak _-:suffix.f.s/e	46 91		0
1678	German	language	die Zunge		!TONGUE	18-240	Zunge	zunge	ts ʊ ŋ + ə	Stammwort			tongue _-:suffix.f.s/e	199 91		0
1679	German	word	das Wort	1599	WORD	18-260	das Wort	wort	v ɔ r t	Stammwort			word	1170		0
1680	German	name	der Name	1405	NAME	18-280	der Name	name	n aː m ə	Stammwort			?	0		0
1681	German	ask (question, inquire)	fragen	1309	ASK (INQUIRE)	18-310	fragen	fragen	f r aː g + ə n				ask _-:inf	1001 2		0
1682	German	answer	antworten	1275	ANSWER	18-320	antworten	antworten	a n t + v ɔ r t + ə n				_-on:prefix/an word _-:inf	142 1170 2		0
1683	German	answer	antworten	1275	ANSWER	18-320	erwidern	erwidern	ɛ r + v iː d ə r + Ø/ə n				_-:prefix/er against _-:inf	147 1171 2		0
1684	German	admit, confess	zugeben	2022	ADMIT	18-330	zugeben	zugeben	ts uː + g eː b + ə n				_-:prefix/zu give _-:inf	52 453 2		0
1685	German	admit, confess	zugeben	2022	ADMIT	18-330	gestehen	gestehen	g ə + ʃ t eː + ə n	Stammwort			_-:prefix/ge stand _-:inf	139 435 2		0
1686	German	admit, confess	zugeben	2022	ADMIT	18-330	bekennen	bekennen	b ə + k ɛ n + ə n	Stammwort			_-:prefix/be know _-:inf	140 536 2		0
1687	German	deny	leugnen	755	DENY	18-340	leugnen	leugnen	l ɔi g n + ə n	Stammwort			lie _-:inf	733 2		lügen
1688	German	ask, request	bitten (verlangen)	1828	ASK (REQUEST)	18-350	bitten	bitten	b ɪ t + ə n	Stammwort			beg _-:inf	858 2		0
1689	German	ask, request	bitten (verlangen)	1828	ASK (REQUEST)	18-350	verlangen	verlangen	f ɛ r + l a ŋ + ə n	Stammwort			_-:prefix/ver long_for _-:inf	138 574 2		0
1690	German	ask, request	bitten (verlangen)	1828	ASK (REQUEST)	18-350	fordern	fordern	f ɔ r d ə r + Ø/ə n	Stammwort			demand _-:inf	997 2		0
1691	German	promise	versprechen	1675	PROMISE	18-360	versprechen	versprechen	f ɛ r + ʃ p r ɛ ç + ə n	S			_-:prefix/ver speak _-:inf	138 46 2		0
1692	German	promise	versprechen	1675	PROMISE	18-360	verheißen	verheißen	f ɛ r + h ai s + ə n	Stammwort			_-:prefix/ver be_called _-:inf	138 404 2	old	0
1693	German	refuse	verweigern	49	REFUSE	18-370	verweigern	verweigern	f ɛ r + v ai g ə r + Ø/ə n				_-:prefix/ver deny _-:inf	138 1196 2		0
1694	German	refuse	verweigern	49	REFUSE	18-370	abschlagen	abschlagen	a p/b + ʃ l aː g + ə n				_-off:prefix/ab beat _-:inf	110 145 2		0
1695	German	forbid	verbieten	83	FORBID	18-380	verbieten	verbieten	f ɛ r + b iː t + ə n				_-:prefix/ver offer _-:inf	138 87 2		0
1696	German	forbid	verbieten	83	FORBID	18-380	untersagen	untersagen	u n t ə r + z aː g + ə n				_under say _-:inf	10 222 2	formal	0
1697	German	rebuke, scold	ausschimpfen	299	SCOLD	18-390	ausschimpfen	ausschimpfen	au s + ʃ ɪ m pf + ə n				_-out:prefix/aus scold _-:inf	148 1026 2		0
1698	German	rebuke, scold	ausschimpfen	299	SCOLD	18-390	tadeln	tadeln	t aː d + ə l + Ø/ə n				scold _-:dim/el _-:inf	742 796 2	old	0
1699	German	call (=summon)	rufen	1084	CALL	18-410	rufen	rufen	r uː f + ə n	Stammwort			call _-:inf	289 2		0
1700	German	call (=name)	nennen	180	CALL BY NAME	18-420	nennen	nennen	n ɛ n + ə n	Stammwort			name:V _-:inf	0 2		0
1701	German	call (=name)	heißen	180	?CALL BY NAME	18-420	heißen	heißen	h ai s + ə n	Stammwort			be_called _-:inf	404 2		0
1702	German	announce	ankündigen	9	ANNOUNCE	18-430	ankündigen	ankündigen	a n + k y n d + ɪ g + ə n				_-on:prefix/an message _-:suffix/ig _-:inf	142 794 156 2		0
1703	German	announce	ankündigen	9	ANNOUNCE	18-430	verkündigen	verkündigen	f ɛ r + k y n d + ɪ g + ə n				_-:prefix/ver message _-:suffix/ig _-:inf	138 794 156 2		0
1704	German	announce	ankündigen	9	ANNOUNCE	18-430	verkünden	verkünden	f ɛ r + k y n d + ə n				_-:prefix/ver message _-:inf	138 794 2		0
1705	German	threaten	drohen	1192	THREATEN	18-440	drohen	drohen	d r oː + ə n	Stammwort			threaten _-:inf	787 2		0
1706	German	boast	angeben	101	BOAST	18-450	sich rühmen	sich rühmen	z ɪ ç + r yː m + ə n				self boast _-:inf	147 921 2		0
1707	German	boast	angeben	101	BOAST	18-450	prahlen	prahlen	p r aː l + ə n	Stammwort			boast _-:inf	0 2		0
1708	German	boast	angeben	101	BOAST	18-450	angeben	angeben	a n + g eː b + ə n				_-on:prefix/an give _-:inf	142 453 2		0
1709	German	write	schreiben	1672	WRITE	18-510	schreiben	schreiben	ʃ r ai b + ə n	Entlehnung			write _-:inf	705 2		0
1710	German	read	lesen	724	READ	18-520	lesen	lesen	l eː z + ə n	Stammwort			? _-:inf	0 2		0
1711	German	paper	das Papier	648	PAPER	18-560	Papier	papier	p a p iː r	Entlehnung	l	papyrum	paper	0		0
1712	German	pen	die Feder	794	PEN	18-570	die Feder	feder	f eː d ə r	Stammwort			feather	962		0
1713	German	book	das Buch	963	BOOK	18-610	das Buch	buch	b uː x	Stammwort			book	246		0
1714	German	poet	der Dichter	1045	POET	18-670	der Dichter	dichter	d ɪ ç t + ə r				dense _-:suffix/er	780 100		0
1715	German	poet	der Dichter	1045	POET	18-670	der Poet	poet	p oː eː t	E			poet	0		0
1716	German	flute	die Flöte	777	FLUTE	18-710	die Flöte	flöte	f l øː t + ə	Entlehnung	afrz	fleute	flute _-:suffix.f.s/e	992 91		0
1717	German	drum	die Trommel	908	DRUM	18-720	die Trommel	trommel	t r ɔ m + ə l	Nicht etymologisierbar			drum _-:dim/el	771 796		0
1718	German	drum	die Trommel	908	DRUM	18-720	die Pauke	pauke	p au k + ə	Stammwort			? _-:suffix.f.s/e	790 91		0
1719	German	horn, trumpet	das Horn oder die Trompete	2136	BRASS INSTRUMENT (HORN OR TRUMPET)	18-730	das Horn	horn	h ɔ r n	Stammwort			horn	1071		0
1720	German	horn, trumpet	das Horn oder die Trompete	2136	BRASS INSTRUMENT (HORN OR TRUMPET)	18-730	die Trompete	trompete	t r ɔ m p eː t ə	Entlehnung	afrz	trompette	!trumpet	770		0
1721	German	rattle	die Rassel	300	RATTLE	18-740	die Rassel	rassel	r a s ə l				rattle	892		0
1722	German	rattle	die Rassel	300	RATTLE	18-740	die Knarre	knarre	k n a r + ə				rattle _-:suffix.f.s/e	0 91	semantically shifted	0
1723	German	country	das Land	1300	COUNTRY	19-110	das Land	land	l a n t/d	Stammwort			land	39		0
1724	German	one's native country	das Vaterland	89	NATIVE COUNTRY	19-120		vaterland	f aː t ə r + l a n t				father land	5 39		0
1725	German	city, town	die Stadt	1391	TOWN	19-150	die Stadt	stadt	ʃ t a t	Stammwort			place	87		0
1726	German	village	das Dorf	930	VILLAGE	19-160	das Dorf	dorf	d ɔ r f	Stammwort			village	629		0
1727	German	boundary	die Grenze	1010	BOUNDARY	19-170	die Grenze	grenze	g r ɛ n ts + ə	Entlehnung			border _-:suffix.f.s/e	1157 91		0
1728	German	people (populace)	das Volk	789	PEOPLE	19-210	das Volk	volk	f ɔ l k	Stammwort			people	999		0
1729	German	people (populace)	das Volk	789	PEOPLE	19-210	die Nation	nation	n a t s j oː n	Entlehnung	l	nAtio	nation	0		0
1730	German	tribe, clan	der Klan 	302	CLAN	19-230	der Stamm	stamm	ʃ t a m	Stammwort			trunk	582		0
1731	German	tribe, clan	der Klan 	302	CLAN	19-230	der Klan	klan	k l aː n	E			clan	580		0
1732	German	tribe, clan	der Klan 	302	CLAN	19-230	die Sippe	sippe	z i p + ə	Stammwort			clan _-:suffix.f.s/e	581 91	old	0
1733	German	chief, chieftain	der Häuptling	301	CHIEFTAIN	19-240	der Häuptling	häuptling	h ɔi/au p t + l ɪ ŋ	Stammwort			head _-:suffix/ling	830 604		0
1734	German	chief, chieftain	der Häuptling	301	CHIEFTAIN	19-240	der Chef	chef	ʃ ɛ f	Entlehnung	frz	chef	!chef	1023		0
1735	German	staff, walking stick	der Stab	1296	WALKING STICK	19-250	der Stab	stab	ʃ t aː p/b	Stammwort			stick	432		0
1736	German	staff, walking stick	der Stab	1296	WALKING STICK	19-250	der Stock	stock	ʃ t ɔ k	Stammwort			stick	628		0
1737	German	rule, govern	regieren	1846	RULE	19-310	herrschen	herrschen	h ɛ r ʃ + ə n	Stammwort			rule _-:inf	214 2	complex etymology	0
1738	German	rule, govern	regieren	1846	RULE	19-310	regieren	regieren	r eː g iː r + ə n	mit Adaptionssuffix	afrz	reger	!rule _-:inf	213 2		0
1739	German	king, ruler	der König	1508	KING	19-320	König	könig	k øː n ɪ ç/g	Stammwort			king	1117		0
1740	German	queen	die Königin	1306	QUEEN	19-330	die Königin	königin	k øː n ɪ g + i n				king /in	1117 1232		0
1741	German	noble, nobleman	der Adlige	482	NOBLE	19-360	der Adlige	adliger	aː d Ø/ə l + ɪ g + ə r				noble _-:suffix/ig _-:n.m/er	670 156 331		0
1742	German	noble, nobleman	der Adlige	482	NOBLE	19-360	der Edelmann	edelmann	eː d ə l + m a n				noble man	0 901		0
1743	German	citizen, subject	der Bürger	1032	CITIZEN	19-370	der Bürger	bürger	b y r . g + ə r	Stammwort			castle _-:suffix/er	883 100		0
1744	German	master	der Herr	383	MASTER	19-410	der Herr	herr	h ɛ r	Stammwort			master	1099		0
1745	German	slave	der Sklave	812	SLAVE	19-420	der Sklave	sklave	s k l aː v ə	Entlehnung	ml	sclavus	*slave	355		0
1746	German	servant	der Diener	255	SERVANT	19-430	der Diener	diener	d iː n + ə r	Stammwort			serve _-:suffix/er	268 100		0
1747	German	servant	der Diener	255	SERVANT	19-430	der Knecht	knecht	k n ɛ ç t	Stammwort			servant	269	old	0
1748	German	freeman	der freie Mann	384	FREEMAN	19-440	der freie Mann	freiermann	f r ai + ə r + m a n				free _-:suffix/er man	109 100 0		0
1749	German	command, order	befehlen	1998	COMMAND	19-450	befehlen	befehlen	b ə + f eː l + ə n	Stammwort			_-:prefix/be lack _-:inf	140 622 2		0
1750	German	command, order	befehlen	1998	COMMAND	19-450	gebieten	gebieten	g ə + b iː t + ə n				_-:prefix/ge offer _-:inf	139 87 2		0
1751	German	command, order	befehlen	1998	!COMMAND	19-450	heißen	heißen	h ai s + ə n	Stammwort			be_called _-:inf	404 2		0
1752	German	obey	gehorchen	1635	OBEY	19-460	gehorchen	gehorchen	g ə + h ɔ r ç + ə n	Stammwort			_-:prefix/ge hear/horch _-:inf	139 1070 2		0
1753	German	let, permit	erlauben	3237	ALLOW OR PERMIT	19-470	zulassen	zulassen	ts uː + l a s + ə n				_-:prefix/zu let _-:inf	52 408 2		0
1754	German	let, permit	erlauben	3237	ALLOW OR PERMIT	19-470	erlauben	erlauben	ɛ r + l au b + ə n	Stammwort			_-:prefix/er ?/laub _-:inf	147 0 2		0
1755	German	let, permit	erlauben	3237	ALLOW OR PERMIT	19-470	gestatten	gestatten	g ə + ʃ t a t + ə n	Stammwort			_-:prefix/ge place _-:inf	139 87 2		0
1756	German	friend, companion	der Freund	1325	FRIEND	19-510	der Freund	freund	f r ɔi n t/d	Stammwort			friend	1006		0
1757	German	enemy	der Feind	1358	ENEMY	19-520	der Feind	feind	f ai n t/d	Stammwort			enemy	971		0
1758	German	neighbor	der Nachbar	1332	NEIGHBOUR	19-540	der Nachbar	nachbar	n a x b aː r	Stammwort			?	0		0
1759	German	stranger	ein Fremder	791	STRANGER	19-550	ein Fremder	fremder	f r ɛ m d + ə r				strange _-:n.m/er	454 300		0
1760	German	stranger	ein Fremder	791	STRANGER	19-550	der Fremdling	fremdling	f r ɛ m t/d + l ɪ ŋ				strange _-:suffix/ling	454 604		0
1761	German	guest	der Gast	1782	GUEST	19-560	der Gast	gast	g a s t	Stammwort			guest	60		0
1762	German	host	der Gastgeber	1545	!HOST	19-570	der Wirt	wirt	v ɪ r t	Stammwort			host-of-pub	1205	specific	0
1763	German	host	der Gastgeber	1545	HOST	19-570	der Gastgeber	gastgeber	g a s t + g eː b + ə r				guest give _-:suffix/er	60 453 100		0
1764	German	help, aid	helfen	1897	HELP	19-580	helfen	helfen	h ɛ l f + ə n	Stammwort			help _-:inf	1092 2		0
1765	German	hinder, prevent	verhindern		PREVENT	19-590	verhindern	verhindern	f ɛ r + h ɪ n d ə r + Ø/ə n				_-:prefix/ver hinder _-:inf	138 274 2		0
1766	German	hinder, prevent	hindern		HINDER	19-590	hemmen	hemmen	h ɛ m + ə n	Stammwort			hinder _-:inf	1095 2	unusual	0
1767	German	hinder, prevent	verhindern		PREVENT	19-590	vorbeugen	vorbeugen	f oː r + b ɔi g + ə n	Stammwort			_before bend _-:inf	402 129 2		0
1768	German	hinder, prevent	hindern		HINDER	19-590	hindern	hindern	h ɪ n d ə r + Ø/ə n	Stammwort			hinder _-:inf	274 2		0
1769	German	custom	der Brauch	1747	CUSTOM	19-610	die Sitte	sitte	z ɪ t + ə	Stammwort			custom _-:suffix.f.s/e	589 91		0
1770	German	custom	der Brauch	1747	CUSTOM	19-610	der Gebrauch	gebrauch	g ə + b r au x				_-:prefix/ge custom	139 67		0
1771	German	custom	der Brauch	1747	CUSTOM	19-610	der Brauch	brauch	b r au x				custom	67		0
1772	German	strife, quarrel	der Streit	1848	QUARREL	19-620	der Streit	streit	ʃ t r ai t				fight	458		0
1773	German	strife, quarrel	der Streit	1848	QUARREL	19-620	die Auseinandersetzung	auseinandersetzung	au s + ai n + a n d ə r + z ɛ/ɪ ts + ʊ ŋ				_-out:prefix/aus one other sit _:-suffix/ung	148 153 931 197 58		0
1774	German	strife, quarrel	der Streit	1848	QUARREL	19-620	der Zwist	zwist	ts v ɪ s t	Stammwort			quarrel	459		0
1775	German	strife, quarrel	der Streit	1848	QUARREL	19-620	der Zank	zank	ts a ŋ k				quarrel	460	old	0
1776	German	conspiracy, plot	die Verschwörung	2024	PLOT	19-630	die Verschwörung	verschwörung	f ɛ r + ʃ v øː r + ʊ ŋ				_-:prefix/ver swear _-:suffix/ung	138 481 58		0
1777	German	meet	treffen	1831	MEET	19-650	treffen	treffen	t r ɛ f + ə n	Stammwort			hit _-:inf	748 2		0
1778	German	prostitute	die Prostituierte	1610	PROSTITUTE	19-720	die Hure	hure	h uː r + ə	Stammwort			prostitude _-:suffix.f.s/e	1114 91		0
1779	German	prostitute	die Prostituierte	1610	PROSTITUTE	19-720	die Dirne	dirne	d ɪ r n + ə	Stammwort			girl _-:suffix.f.s/e	781 91	old	0
1780	German	prostitute	die Prostituierte	1610	PROSTITUTE	19-720	die Prostituierte	metze	p r ɔ s t iː t uː iː r t + ə				prostitute _-:decl.f.s/e	0 1237		0
1781	German	fight (vb)	kämpfen	1423	FIGHT	20-110	kämpfen	kämpfen	k ɛ/a m pf + ə n				fight _-:inf	0 2		0
1782	German	fight (vb)	fechten	1423	FIGHT	20-110	fechten	fechten	f ɛ ç t + ə n	Stammwort			fight _-:inf	635 2		0
1783	German	war, battle	die Schlacht	579	BATTLE	20-130	die Schlacht	schlacht	ʃ l a x t	Stammwort			butcher	637		0
1784	German	war, battle	die Schlacht	579	BATTLE	20-130	der Kampf	kampf	k a m pf	Entlehnung			fight	1135	specific	0
1785	German	war, battle	die Schlacht	579	BATTLE	20-130	das Gefecht	gefecht	g ə + f ɛ ç t				_-:prefix/ge fight	139 635	specific	0
1786	German	peace	der Frieden	1338	PEACE	20-140	der Frieden	frieden	f r iː d + ə n				peace _-:suffix.m.s/en	1002 922		0
1787	German	army	die Armee	1561	ARMY	20-150	das Heer	heer	h eː r	Stammwort			army	1089		0
1788	German	army	die Armee	1561	ARMY	20-150	die Armee	armee	a r m eː	Entlehnung	frz	armée	*army	0		0
1789	German	soldier	der Soldat	1941	SOLDIER	20-170	der Soldat	soldat	z ɔ l d + aː t	Entlehnung	it	soldato	!soldier ?	378 0		0
1790	German	weapons, arms	die Waffen	951	WEAPONS	20-210	die Waffen	waffen	v a f + ə n				weapon _-:suffix.f.pl/en	651 17		0
1791	German	club	die Keule	1763	CLUB	20-220	die Keule	keule	k ɔi . l + ə	Stammwort			club _-:suffix.f.s/e	1118 91		0
1792	German	battle-ax	die Streitaxt	386	BATTLE-AXE	20-222	die Streitaxt	streitaxt	ʃ t r ai t + a k s t				fight axe	458 526		0
1793	German	sling	die Schleuder	387	SLING	20-230	die Schleuder	schleuder	ʃ l ɔi d ə r	Stammwort			sling	1030		0
1794	German	bow	der Bogen	994	BOW	20-240	der Bogen	bogen	b oː g + ə n	Stammwort			bow _-:suffix.m.s/en	11 922		0
1795	German	arrow	der Pfeil	977	ARROW	20-250	Pfeil	pfeil	pf ai l	Entlehnung			arrow	0		0
